model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
XGBoost_TD,0.950249,0.918794,0.595508,0.190098,0.14,baseball,medium
CatBoost_TD,0.942786,0.9059,0.527351,0.167499,1.81,baseball,medium
AutoGluon_Default,0.955224,0.909118,0.659357,0.15711,9.22,baseball,medium
AutoGluon_Extreme,0.945274,0.931495,0.574491,0.151131,3591.3,baseball,medium
LightGBM_Tuned,0.947761,0.91002,0.560394,0.221334,37.24,baseball,medium
XGBoost_Tuned,0.947761,0.905062,0.578484,0.159634,44.0,baseball,medium
CatBoost_Tuned,0.942786,0.893383,0.559881,0.163344,139.05,baseball,medium
TabICL,0.621076,0.894954,0.042666,0.963763,0.85,yeast,medium
LightGBM_TD,0.58296,0.830581,0.000169,1.579183,0.35,yeast,medium
XGBoost_TD,0.616592,0.857712,0.041277,1.252909,0.4,yeast,medium
CatBoost_TD,0.596413,0.843954,0.034565,1.12003,2.74,yeast,medium
AutoGluon_Default,0.591928,0.863144,0.035611,1.208042,33.53,yeast,medium
AutoGluon_Extreme,0.59417,0.892711,0.041029,1.017045,3609.62,yeast,medium
LightGBM_Tuned,0.580717,0.851791,0.000175,1.065765,72.14,yeast,medium
XGBoost_Tuned,0.598655,0.853081,0.041933,1.136692,180.83,yeast,medium
CatBoost_Tuned,0.603139,0.860777,0.002428,1.013974,171.08,yeast,medium
TabICL,0.965517,0.997112,0.959842,0.088182,1.47,splice,medium
LightGBM_TD,0.952978,0.995634,0.953466,0.151367,0.16,splice,medium
XGBoost_TD,0.958203,0.995991,0.956021,0.123753,0.16,splice,medium
CatBoost_TD,0.950888,0.995357,0.952107,0.130327,1.95,splice,medium
AutoGluon_Default,0.954023,0.99455,0.948424,0.287811,15.08,splice,medium
AutoGluon_Extreme,0.961338,0.996001,0.958013,0.1094,3593.98,splice,medium
LightGBM_Tuned,0.957158,0.99587,0.953778,0.161802,49.61,splice,medium
XGBoost_Tuned,0.963427,0.996064,0.960927,0.105045,57.03,splice,medium
CatBoost_Tuned,0.954023,0.994527,0.952574,0.126426,146.82,splice,medium
TabICL,0.778863,0.853075,0.77587,0.480659,49.82,Bioresponse,medium
LightGBM_TD,0.783304,0.861424,0.779572,0.489137,0.45,Bioresponse,medium
XGBoost_TD,0.788632,0.857216,0.785855,0.583326,0.26,Bioresponse,medium
CatBoost_TD,0.764654,0.858605,0.759053,0.472091,15.26,Bioresponse,medium
AutoGluon_Default,0.784192,0.864669,0.780118,0.463752,31.7,Bioresponse,medium
AutoGluon_Extreme,0.786856,0.865902,0.782696,0.456,3613.72,Bioresponse,medium
LightGBM_Tuned,0.775311,0.860302,0.772277,0.866851,102.65,Bioresponse,medium
XGBoost_Tuned,0.782416,0.867593,0.777073,0.45641,208.04,Bioresponse,medium
CatBoost_Tuned,0.791297,0.863213,0.786831,0.462253,514.72,Bioresponse,medium
TabICL,0.9947,0.962634,0.000968,0.014689,1.02,hypothyroid,medium
LightGBM_TD,0.996466,0.959641,0.000986,0.024342,0.19,hypothyroid,medium
XGBoost_TD,0.995583,0.788334,0.000977,0.017555,0.16,hypothyroid,medium
CatBoost_TD,0.996466,0.961677,0.000972,0.013311,2.04,hypothyroid,medium
AutoGluon_Default,0.996466,0.829466,0.000986,0.022239,12.57,hypothyroid,medium
AutoGluon_Extreme,0.99735,0.952093,0.000991,0.017321,3597.29,hypothyroid,medium
LightGBM_Tuned,0.995583,0.767558,0.000977,0.044879,36.22,hypothyroid,medium
