task_id,dataset,model,auc_ovo,accuracy,g_mean,cross_entropy,fit_time_s,predict_time_s,total_time_s
3892,hiva_agnostic,group_model,,,,,,,
168757,credit-g,lightgbm,0.7576190476190476,0.7433333333333333,0.5374838498865699,0.5214270405909421,0.03789189199960674,0.00555015700047079,0.04344204900007753
168757,credit-g,xgboost,0.781058201058201,0.72,0.4937707198786941,0.5093128781017138,0.25996756199947413,0.01641594700049609,0.2763835089999702
168757,credit-g,catboost,0.7882539682539682,0.76,0.5907577413751842,0.4970251151236154,20.71676541099987,0.00323318000027939,20.71999859100015
168757,credit-g,group_model,0.7901058201058202,0.78,0.6592042661802672,0.5030628043748246,0.4665145859999029,1.0588330310001766,1.5253476170000795
359956,qsar-biodeg,lightgbm,0.9235425011125945,0.8643533123028391,0.8216312321351579,0.33108734784636823,0.6314831529998628,0.015508434000366833,0.6469915870002296
359956,qsar-biodeg,xgboost,0.9238095238095237,0.8769716088328076,0.8364472306950557,0.32302374137909473,0.3401343650002673,0.02453466600036336,0.36466903100063064
359956,qsar-biodeg,catboost,0.9303515798842902,0.8738170347003155,0.8343429575986879,0.307666238897699,3.789355677000458,0.003940452000279038,3.793296129000737
359956,qsar-biodeg,group_model,0.9345349354695148,0.8801261829652997,0.8385462232818948,0.3135759400456152,0.48046143900046445,6.033101161999184,6.513562600999649
359967,Bioresponse,lightgbm,0.8625999078384949,0.7841918294849023,0.7798773813357586,0.5218284090521946,5.136447188000602,0.10741877500004193,5.243865963000644
359967,Bioresponse,xgboost,0.8640903818346496,0.7824156305506217,0.7792414255182023,0.46653027794353585,3.601591775000088,0.3368390929999805,3.9384308680000686
359967,Bioresponse,catboost,0.8577026361368439,0.7850799289520426,0.7826860956675378,0.5165418231409915,6.6772866950004754,0.0766512000000148,6.75393789500049
359967,Bioresponse,group_model,,,,,,,
359968,churn,lightgbm,0.9267696003750147,0.9606666666666667,0.8757729170701309,0.14069913978571896,0.5376656440002989,0.03963298400049098,0.5772986280007899
359968,churn,xgboost,0.9386426227587016,0.9586666666666667,0.870075585606752,0.14470852698553574,0.4888946860000942,0.01825458700022864,0.5071492730003229
359968,churn,catboost,0.9370202449314428,0.9546666666666667,0.8489848205914814,0.17223042643947306,10.571535159000632,0.012171174999821233,10.583706334000453
359968,churn,group_model,0.942914640220321,0.968,0.8933931357316665,0.238412052096845,0.5713906390001284,5.426678963000086,5.998069602000214
