task_id,dataset,model,best_cv_score,tune_time_s,params
11,balance-scale,lightgbm,0.9737659698025553,4.926133467,"{'n_estimators': 400, 'learning_rate': 0.2992799583173479, 'max_depth': 4, 'num_leaves': 83, 'min_child_samples': 47, 'subsample': 0.9637958059966713, 'colsample_bytree': 0.6331560815619832}"
11,balance-scale,xgboost,0.9560975609756096,12.298335554000005,"{'n_estimators': 500, 'learning_rate': 0.2164255032557343, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7825269757813548, 'colsample_bytree': 0.5744790708871741, 'gamma': 0.5973663762701669}"
11,balance-scale,catboost,0.96869918699187,68.76461123599984,"{'iterations': 250, 'learning_rate': 0.1083007597552189, 'depth': 4, 'l2_leaf_reg': 7.941252682359116, 'bagging_temperature': 0.3552977555469776}"
11,balance-scale,group_model,0.9941347270615564,12.170137001000056,"{'n_estimators': 20, 'softmax_temperature': 0.4, 'outlier_threshold': 3.0, 'average_logits': False, 'n_norm_methods': 2, 'norm_method_1': 'power', 'norm_method_2': 'none'}"
41,soybean,lightgbm,0.9994117443510157,30.618527730000096,"{'n_estimators': 100, 'learning_rate': 0.018659959624904916, 'max_depth': 5, 'num_leaves': 75, 'min_child_samples': 24, 'subsample': 0.645614570099021, 'colsample_bytree': 0.8059264473611898}"
41,soybean,xgboost,0.9996020623550986,70.53119939399994,"{'n_estimators': 250, 'learning_rate': 0.036481039076036656, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9004032765729437, 'colsample_bytree': 0.7055992798014322, 'gamma': 2.097062865002662}"
41,soybean,catboost,0.9998615869061211,209.56969384500007,"{'iterations': 300, 'learning_rate': 0.01457875254417581, 'depth': 9, 'l2_leaf_reg': 2.3040675850083807, 'bagging_temperature': 0.40874719681978916}"
41,soybean,group_model,0.9996799197204056,32.512790728000255,"{'n_estimators': 4, 'softmax_temperature': 1.5, 'outlier_threshold': 5.5, 'average_logits': True, 'n_norm_methods': 1, 'norm_method_single': 'robust'}"
3022,vowel,lightgbm,0.9927727720996952,29.505939345000115,"{'n_estimators': 100, 'learning_rate': 0.27051668818999286, 'max_depth': 9, 'num_leaves': 122, 'min_child_samples': 46, 'subsample': 0.7989499894055425, 'colsample_bytree': 0.9609371175115584}"
3022,vowel,xgboost,0.9844469099276792,52.82477165699993,"{'n_estimators': 450, 'learning_rate': 0.08897642167254051, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7493973100752614, 'colsample_bytree': 0.6853543172203514, 'gamma': 0.26614885970290303}"
3022,vowel,catboost,0.9974807244038012,224.3821522610001,"{'iterations': 350, 'learning_rate': 0.19024182447263463, 'depth': 9, 'l2_leaf_reg': 3.4330021577051744, 'bagging_temperature': 0.7708083512458731}"
